Bread and Cereals,151,150.9,146.8,145.8,2.9,3.5
Rice,146.9,146.7,142.3,141.2,3.2,3.9
Corn,157.1,156.9,155.2,155.2,1.2,1.1
Other Cereals,165.1,165.1,161.9,161.5,2,2.2
Meat,133.7,134.1,131.2,131.1,1.9,2.3
Fish,162.9,162.6,156.3,156.1,4.2,4.2
"Milk, Cheese and Eggs",134.2,134,131.7,131.6,1.9,1.8
Oils and Fats,178.9,178.4,177.2,176.9,1,0.8
Fruits,190.9,190.1,168.1,166.1,13.6,14.4
Vegetables,160.1,158,158.9,162.3,0.8,-2.6
"Sugar, Jam, Honey, Chocolate and Confectionary",132.8,132.8,129.9,129.6,2.2,2.5
"Food Products, N.E.C",171.3,169.8,160.4,158.5,6.8,7.1
