Bread and Cereals,151,151.2,145.1,144.2,4.1,4.9
Rice,146.8,147.1,140.6,139.6,4.4,5.4
Corn,157.2,157.4,152.1,151.2,3.4,4.1
Other Cereals,165.1,165.2,160.4,160.1,2.9,3.2
Meat,134.3,134.8,130.9,130.7,2.6,3.1
Fish,162.5,162.4,157.1,157.6,3.4,3
"Milk, Cheese and Eggs",133.5,133.4,131.6,131.2,1.4,1.7
Oils and Fats,178.1,177.6,176.7,176.7,0.8,0.5
Fruits,190.0,188.2,170.6,173.5,11.4,8.5
Vegetables,162.5,169.6,169.3,170.1,-0.4,-0.3
"Sugar, Jam, Honey, Chocolate and Confectionary",133.2,133.2,129.5,129.5,2.9,2.9
"Food Products, N.E.C",170.3,173.1,155.5,152.3,9.5,13.7
