All Items,138.7,130.6,129.7,141.3,142.5,133.9,142.4
Food and Non-Alcoholic Beverages,151.7,139.9,146.1,158,152,143.4,151.6
Alcoholic Beverages & Tobacco,185.8,192.7,185.5,190.2,175.6,187.5,151.6
Clothing and Footwear,128,138.4,114.7,123.2,144.9,119,143.9
"Housing, Water, Electricity, Gas and Other Fuels",130.4,111.8,105,142.6,130.8,110.8,129.2
"Furnishing, Household Equipment and Routine Maintenance of the House",127.4,121.6,113.4,131.5,116.9,132,133.5
Health,129.1,119.1,109.8,135.2,113.9,125.4,131.4
Transport,128.5,148.3,114.6,125.8,132,138.5,125.6
Communication,83.1,111.3,77.7,79.9,99.1,77.9,86.3
Recreation and Culture,107.2,107.3,114.7,104.5,106.3,113.3,110.4
Education,147.4,143.8,140.9,138.3,155.8,157.3,175.5
Restaurants and Miscellaneous Goods and Services,126.3,114.8,126.8,124.9,144.3,127.2,133.1
