All Items,139,130.6,129.6,141.4,142.2,133.4,146.5
Food and Non-Alcoholic Beverages,150.6,139.1,145.7,156.5,149.5,141.2,154.4
Alcoholic Beverages & Tobacco,187.5,195.4,186.5,190.5,175.6,192.7,170.3
Clothing and Footwear,128.6,139.9,115.8,123.7,145.4,118.9,144.3
"Housing, Water, Electricity, Gas and Other Fuels",130.7,112.2,103.5,143.5,130.9,109.4,192.1
"Furnishing, Household Equipment and Routine Maintenance of the House",127.6,121.8,113.6,131.7,116.9,132.3,113.6
Health,129.4,119.3,109.7,135.5,113.9,125.7,131.6
Transport,130.3,149.1,115.4,128,134.4,143.1,123.5
Communication,83.1,111.3,77.7,79.9,99.1,77.9,86.4
Recreation and Culture,107.4,107.4,115.6,104.7,106.3,113.7,110.4
Education,157,146,140.9,141.1,170.7,164.6,228.8
Restaurants and Miscellaneous Goods and Services,126.8,115.1,132.4,124.9,145.9,128.3,132.9
