Bread and Cereals,151.2,151.1,147.9,147.5,2.2,2.4
Rice,147.0,146.8,143.6,143.2,2.4,2.5
Corn,157.8,157.4,155.5,155.2,1.5,1.4
Other Cereals,165.5,165.4,162.2,162.2,2.0,2.0
Meat,132.9,132.7,132.7,132.1,0.2,0.5
Fish,165.3,163.9,157.2,156.6,5.2,4.7
"Milk, Cheese and Eggs",134.4,134.4,131.8,131.6,2.0,2.1
Oils and Fats,179.3,179.3,177.4,177.2,1.1,1.2
Fruits,188.0,187.2,165.0,166.8,13.9,12.2
Vegetables,157.5,157.2,155.7,155.7,-1.2,1.0
"Sugar, Jam, Honey, Chocolate and Confectionary",133.6,133.4,130.9,130.3,2.1,2.4
"Food Products, N.E.C",175.3,171.9,166.2,162.2,5.5,6
