Bread and Cereals,151.1,151,147.5,146.8,2.4,2.9
Rice,146.8,146.8,143.2,142.3,2.5,3.2
Corn,157.4,157.1,155.2,155.2,1.4,1.2
Other Cereals,165.4,165.1,162.2,161.9,2,2
Meat,132.7,133.7,132.1,131.2,0.5,1.9
Fish,163.9,162.9,156.6,156.3,4.7,4.2
"Milk, Cheese and Eggs",134.4,134.2,131.7,131.7,2.1,1.9
Oils and Fats,179.3,178.9,177.2,177.2,1.2,1
Fruits,187.2,190.9,166.8,168.1,12.2,13.6
Vegetables,157.2,160.1,155.7,158.9,1,0.8
"Sugar, Jam, Honey, Chocolate and Confectionary",133.4,132.8,130.3,129.9,2.4,2.2
"Food Products, N.E.C",171.9,171.3,162.2,160.4,6,6.8
